Record ID,Institute,WorkArea,CESSATION YEAR,Reason for ceasing employment,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,Main Factor. Which of these was the main factor for leaving?,InstituteViews. Topic:1. I feel the senior leadership had a clear vision and direction,InstituteViews. Topic:2. I was given access to skills training to help me do my job better,InstituteViews. Topic:3. I was given adequate opportunities for personal development,InstituteViews. Topic:4. I was given adequate opportunities for promotion within %Institute]Q25LBL%,InstituteViews. Topic:5. I felt the salary for the job was right for the responsibilities I had,InstituteViews. Topic:6. The organisation recognised when staff did good work,InstituteViews. Topic:7. Management was generally supportive of me,InstituteViews. Topic:8. Management was generally supportive of my team,InstituteViews. Topic:9. I was kept informed of the changes in the organisation which would affect me,InstituteViews. Topic:10. Staff morale was positive within the Institute,InstituteViews. Topic:11. If I had a workplace issue it was dealt with quickly,InstituteViews. Topic:12. If I had a workplace issue it was dealt with efficiently,InstituteViews. Topic:13. If I had a workplace issue it was dealt with discreetly,WorkUnitViews. Topic:14. I was satisfied with the quality of the management and supervision within my work unit,WorkUnitViews. Topic:15. I worked well with my colleagues,WorkUnitViews. Topic:16. My job was challenging and interesting,WorkUnitViews. Topic:17. I was encouraged to use my initiative in the course of my work,WorkUnitViews. Topic:18. I had sufficient contact with other people in my job,WorkUnitViews. Topic:19. I was given adequate support and co-operation by my peers to enable me to do my job,WorkUnitViews. Topic:20. I was able to use the full range of my skills in my job,WorkUnitViews. Topic:21. I was able to use the full range of my abilities in my job. ; Category:Level of Agreement; Question:YOUR VIEWS ABOUT YOUR WORK UNIT],WorkUnitViews. Topic:22. I was able to use the full range of my knowledge in my job,WorkUnitViews. Topic:23. My job provided sufficient variety,WorkUnitViews. Topic:24. I was able to cope with the level of stress and pressure in my job,WorkUnitViews. Topic:25. My job allowed me to balance the demands of work and family to my satisfaction,WorkUnitViews. Topic:26. My supervisor gave me adequate personal recognition and feedback on my performance,"WorkUnitViews. Topic:27. My working environment was satisfactory e.g. sufficient space, good lighting, suitable seating and working area",WorkUnitViews. Topic:28. I was given the opportunity to mentor and coach others in order for me to pass on my skills and knowledge prior to my cessation date,WorkUnitViews. Topic:29. There was adequate communication between staff in my unit,WorkUnitViews. Topic:30. Staff morale was positive within my work unit,Induction. Did you undertake Workplace Induction?,InductionInfo. Topic:Did you undertake a Corporate Induction?,InductionInfo. Topic:Did you undertake a Institute Induction?,InductionInfo. Topic: Did you undertake Team Induction?,InductionInfo. Face to Face Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. On-line Topic:Did you undertake a Corporate Induction; Category:How it was conducted?,InductionInfo. Induction Manual Topic:Did you undertake a Corporate Induction?,InductionInfo. Face to Face Topic:Did you undertake a Institute Induction?,InductionInfo. On-line Topic:Did you undertake a Institute Induction?,InductionInfo. Induction Manual Topic:Did you undertake a Institute Induction?,InductionInfo. Face to Face Topic: Did you undertake Team Induction; Category?,InductionInfo. On-line Topic: Did you undertake Team Induction?process you undertook and how it was conducted.],InductionInfo. Induction Manual Topic: Did you undertake Team Induction?,Workplace. Topic:Did you and your Manager develop a Performance and Professional Development Plan (PPDP)?,Workplace. Topic:Does your workplace promote a work culture free from all forms of unlawful discrimination?,Workplace. Topic:Does your workplace promote and practice the principles of employment equity?,Workplace. Topic:Does your workplace value the diversity of its employees?,Workplace. Topic:Would you recommend the Institute as an employer to others?,Gender. What is your Gender?,CurrentAge. Current Age,Employment Type. Employment Type,Classification. Classification,LengthofServiceOverall. Overall Length of Service at Institute (in years),LengthofServiceCurrent. Length of Service at current workplace (in years)
6.34576020012813e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Disagree,Agree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,No,,,,,,,,,,,,,Yes,Yes,No,No,No,Female,56 or older,Permanent Part-time,Professional Officer (PO),11-20,3-4
6.34576068194844e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Yes,No,Yes,No,-,-,-,Face to Face,-,Induction Manual,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,51-55,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34576230941875e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Not Applicable,Agree,Disagree,Neutral,Neutral,Agree,Agree,Not Applicable,,Not Applicable,Neutral,,Agree,Agree,Neutral,,Agree,Agree,Agree,Agree,Agree,,Neutral,Agree,Agree,Agree,Agree,Yes,Yes,Yes,No,-,On-line,-,-,On-line,-,-,-,-,No,Yes,Yes,Yes,Yes,Male,56 or older,Contract/casual,Teacher (including LVT),1-2,1-2
6.34576957824062e+17,SkillsTech Australia,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,-,-,-,-,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Administration (AO),11-20,1-2
6.34577056474375e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,Travel,-,-,Career Move - Public Sector,Agree,Agree,Not Applicable,Not Applicable,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Applicable,Strongly Agree,Strongly Agree,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,21  25,Permanent Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34577068502656e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Administration (AO),3-4,11-20
6.34577125839844e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,No,,,,,,,,,,,,,Yes,Yes,Yes,No,No,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,7-10
6.34577814504531e+17,Tropical North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Yes,No,Yes,No,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Administration (AO),More than 20 years,More than 20 years
6.34577945776563e+17,Tropical North Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Yes,,,Yes,-,-,-,-,-,-,Face to Face,-,Induction Manual,No,No,No,No,No,Female,51-55,Contract/casual,Teacher (including LVT),3-4,1-2
6.34577978929375e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Not Applicable,Not Applicable,Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,No,Yes,Yes,Yes,Yes,Female,31  35,Temporary Part-time,Administration (AO),3-4,1-2
6.34580376657969e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,41  45,Permanent Part-time,Teacher (including LVT),7-10,7-10
6.34580402580937e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Administration (AO),11-20,3-4
6.34580449107031e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.34580584676406e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,Other,-,,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,,Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Executive (SES/SO),More than 20 years,More than 20 years
6.3458117411625e+17,SkillsTech Australia,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Interpersonal Conflict,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,,,,,,,,,,,,,No,No,No,No,No,Male,51-55,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34581193524375e+17,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Job Dissatisfaction,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,No,Yes,No,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Male,46  50,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34581200570937e+17,SkillsTech Australia,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Yes,Yes,Yes,Yes,Face to Face,-,-,Face to Face,-,-,Face to Face,-,-,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,3-4
6.34581205982188e+17,Brisbane North Institute of TAFE,Delivery (teaching),2012.0,Transfer,-,-,-,-,-,-,-,-,-,-,-,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
6.34581219297344e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,No,,,,,,,,,,,,,No,No,No,No,No,Male,56 or older,Permanent Full-time,Administration (AO),11-20,11-20
6.3458122753e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Yes,Yes,Yes,No,Face to Face,On-line,-,Face to Face,-,Induction Manual,-,-,-,Yes,No,No,No,No,Female,56 or older,Permanent Full-time,Teacher (including LVT),7-10,7-10
6.34581240039844e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,,Strongly Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Yes,No,No,No,-,-,-,-,-,-,-,-,-,No,No,Yes,No,No,Male,51-55,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34581287875e+17,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Yes,,Yes,,-,-,-,Face to Face,-,Induction Manual,-,-,-,No,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Part-time,Teacher (including LVT),11-20,11-20
6.3458137435375e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Male,56 or older,Permanent Full-time,Administration (AO),More than 20 years,More than 20 years
6.34581382832188e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Disagree,Disagree,Yes,No,Yes,No,-,-,-,Face to Face,-,-,-,-,-,Yes,No,No,No,Yes,Female,56 or older,Permanent Full-time,Administration (AO),11-20,Less than 1 year
6.34581395871562e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Neutral,Yes,,Yes,,-,-,-,-,-,Induction Manual,-,-,-,Yes,Yes,Yes,Yes,No,Female,56 or older,Permanent Full-time,Administration (AO),11-20,1-2
6.34582037492969e+17,SkillsTech Australia,Delivery (teaching),2011.0,Contract Expired,,,,,,,,,,,,,,Agree,Agree,Not Applicable,Not Applicable,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Not Applicable,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Not Applicable,Agree,Strongly Agree,No,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Female,36  40,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34582074204062e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,,Neutral,Disagree,Disagree,Not Applicable,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Not Applicable,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Yes,No,Yes,Yes,-,-,-,Face to Face,-,-,Face to Face,-,-,No,Yes,Yes,Yes,No,Female,26  30,Temporary Full-time,Professional Officer (PO),Less than 1 year,Less than 1 year
6.34582107325625e+17,Sunshine Coast Institute of TAFE,Delivery (teaching),2011.0,Retirement,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,No,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34582121700937e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,No,Yes,No,Female,56 or older,Permanent Part-time,Tutor,11-20,11-20
6.34582155813125e+17,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,Career Move - Self-employment,-,-,-,-,-,-,-,-,-,,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Yes,Yes,Yes,Yes,-,On-line,-,-,On-line,-,-,-,-,Yes,No,No,Yes,No,Female,46  50,Temporary Part-time,Teacher (including LVT),1-2,1-2
6.34582194805469e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,No,,,,,,,,
6.34582239753594e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Yes,,,No,-,-,Induction Manual,Face to Face,-,-,-,-,-,No,No,No,No,No,Female,51-55,Permanent Part-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34582296244062e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Yes,Yes,Yes,Yes,Face to Face,-,Induction Manual,Face to Face,-,Induction Manual,Face to Face,-,-,No,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Administration (AO),11-20,11-20
6.3458231357125e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Yes,No,Yes,No,-,-,-,Face to Face,-,Induction Manual,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,41  45,Permanent Part-time,Administration (AO),11-20,11-20
6.3458303174875e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Yes,No,Yes,No,-,-,-,-,-,-,-,-,-,Yes,No,No,No,No,Female,51-55,Permanent Full-time,Apprentice,5-6,11-20
6.34583077875781e+17,Brisbane North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Yes,Yes,Yes,Yes,-,-,-,-,-,-,-,-,-,No,Yes,Yes,No,No,Male,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,11-20
6.34583118693437e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Not Applicable,Not Applicable,Not Applicable,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,,Yes,,-,-,-,Face to Face,-,-,-,-,-,Yes,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Professional Officer (PO),11-20,11-20
6.34583146836094e+17,Tropical North Institute of TAFE,Delivery (teaching),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,No,-,On-line,-,Face to Face,-,-,-,-,-,No,Yes,Yes,Yes,Yes,Female,56 or older,Permanent Full-time,Teacher (including LVT),More than 20 years,More than 20 years
6.34583178702344e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Retrenchment/ Redundancy,,,,,,,,,,,,,,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Yes,No,Yes,No,-,-,-,-,-,-,-,-,-,Yes,Yes,Yes,No,No,Male,56 or older,Permanent Full-time,Administration (AO),7-10,7-10
